0.5 0.5 11.5
0.5 1.5 11.2278
0.5 2.5 11.139
0.5 3.5 11.1082
0.5 4.5 11.1041
0.5 5.5 11.1202
0.5 6.5 11.1606
0.5 7.5 11.2445
0.5 8.5 11.4378
0.5 9.5 11.9945
1.5 0.5 11.7722
1.5 1.5 11.5
1.5 2.5 11.3592
1.5 3.5 11.2979
1.5 4.5 11.2921
1.5 5.5 11.3364
1.5 6.5 11.4385
1.5 7.5 11.6239
1.5 8.5 11.9502
1.5 9.5 12.5289
2.5 0.5 11.8609
2.5 1.5 11.6407
2.5 2.5 11.4999
2.5 3.5 11.432
2.5 4.5 11.4302
2.5 5.5 11.4946
2.5 6.5 11.633
2.5 7.5 11.8627
2.5 8.5 12.21
2.5 9.5 12.6999
3.5 0.5 11.8918
3.5 1.5 11.702
3.5 2.5 11.5678
3.5 3.5 11.4999
3.5 4.5 11.5022
3.5 5.5 11.5788
3.5 6.5 11.7364
3.5 7.5 11.9837
3.5 8.5 12.3274
3.5 9.5 12.7604
4.5 0.5 11.8958
4.5 1.5 11.7077
4.5 2.5 11.5696
4.5 3.5 11.4975
4.5 4.5 11.4998
4.5 5.5 11.5821
4.5 6.5 11.75
4.5 7.5 12.0082
4.5 8.5 12.3554
4.5 9.5 12.7749
5.5 0.5 11.8797
5.5 1.5 11.6635
5.5 2.5 11.5052
5.5 3.5 11.4209
5.5 4.5 11.4176
5.5 5.5 11.4998
5.5 6.5 11.6734
5.5 7.5 11.9439
5.5 8.5 12.3112
5.5 9.5 12.7588
6.5 0.5 11.8393
6.5 1.5 11.5614
6.5 2.5 11.3668
6.5 3.5 11.2634
6.5 4.5 11.2497
6.5 5.5 11.3263
6.5 6.5 11.4999
6.5 7.5 11.7826
6.5 8.5 12.1868
6.5 9.5 12.708
7.5 0.5 11.7555
7.5 1.5 11.3759
7.5 2.5 11.1372
7.5 3.5 11.0161
7.5 4.5 10.9915
7.5 5.5 11.0559
7.5 6.5 11.2172
7.5 7.5 11.4999
7.5 8.5 11.9453
7.5 9.5 12.5944
8.5 0.5 11.5622
8.5 1.5 11.0498
8.5 2.5 10.7899
8.5 3.5 10.6725
8.5 4.5 10.6444
8.5 5.5 10.6886
8.5 6.5 10.8131
8.5 7.5 11.0546
8.5 8.5 11.5
8.5 9.5 12.3189
9.5 0.5 11.0055
9.5 1.5 10.4711
9.5 2.5 10.3001
9.5 3.5 10.2395
9.5 4.5 10.225
9.5 5.5 10.2411
9.5 6.5 10.2919
9.5 7.5 10.4055
9.5 8.5 10.6811
9.5 9.5 11.5
